dataset_idx,dataset_name,dataset_tipo,n_samples,n_features,k,metrica,p,algoritmo,eps,run,radius,silhouette,ari,tempo
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,0,3.0558751979942227,0.7631248207580491,nan,0.0001134000001457025
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,0,2.484488766588765,0.7659686024380011,nan,0.0013089000001400564
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,0,2.484488766588765,0.7659686024380011,nan,0.0009978999999020743
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,0,2.484488766588765,0.7659686024380011,nan,0.0009632000001147389
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,0,5.00759761631185,0.8278455524506478,nan,0.0008001999999578402
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,0,4.879565870814877,0.8278455524506478,nan,0.0007995989999471931
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,0,nan,0.7659686024380011,nan,0.07605199499994342
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,1,3.0558751979942227,0.7631248207580491,nan,6.280000002334418e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,1,2.484488766588765,0.7659686024380011,nan,0.00121579999995447
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,1,2.484488766588765,0.7659686024380011,nan,0.0010621000001265202
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,1,2.484488766588765,0.7659686024380011,nan,0.0009775000000900036
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,1,5.00759761631185,0.8278455524506478,nan,0.0007711999999173713
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,1,4.879565870814877,0.8278455524506478,nan,0.0007316000001083012
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,1,nan,0.7659686024380011,nan,0.07855099400012477
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,2,3.0558751979942227,0.7631248207580491,nan,5.880000003344321e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,2,2.484488766588765,0.7659686024380011,nan,0.0012389000000894157
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,2,2.484488766588765,0.7659686024380011,nan,0.0010495000001355947
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,2,2.484488766588765,0.7659686024380011,nan,0.0009817000000111875
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,2,5.00759761631185,0.8278455524506478,nan,0.0007706999999754771
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,2,4.879565870814877,0.8278455524506478,nan,0.0006883000000925676
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,2,nan,0.7659686024380011,nan,0.07444019899980958
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,3,3.0558751979942227,0.7631248207580491,nan,5.7700000070326496e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,3,2.484488766588765,0.7659686024380011,nan,0.0011911999999938416
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,3,2.484488766588765,0.7659686024380011,nan,0.0010226000001694047
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,3,2.484488766588765,0.7659686024380011,nan,0.001167500000065047
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,3,5.00759761631185,0.8278455524506478,nan,0.002065099999981612
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,3,4.879565870814877,0.8278455524506478,nan,0.0007163999998738291
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,3,nan,0.7659686024380011,nan,0.07699169900001834
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,4,3.0558751979942227,0.7631248207580491,nan,6.589999998141138e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,4,2.484488766588765,0.7659686024380011,nan,0.0012778000000253087
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,4,2.484488766588765,0.7659686024380011,nan,0.0010810000001129083
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,4,2.484488766588765,0.7659686024380011,nan,0.0009238999998615327
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,4,5.00759761631185,0.8278455524506478,nan,0.0008086000000275817
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,4,4.879565870814877,0.8278455524506478,nan,0.0007382999999663298
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,4,nan,0.7659686024380011,nan,0.07990169900017463
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,5,3.0558751979942227,0.7631248207580491,nan,6.499999994957761e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,5,2.484488766588765,0.7659686024380011,nan,0.0011672000000544358
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,5,2.484488766588765,0.7659686024380011,nan,0.0014583000001948676
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,5,2.484488766588765,0.7659686024380011,nan,0.0009598000001460605
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,5,5.00759761631185,0.8278455524506478,nan,0.0008007000001271081
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,5,4.879565870814877,0.8278455524506478,nan,0.000741199999993114
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,5,nan,0.7659686024380011,nan,0.08558979800000088
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,6,3.0558751979942227,0.7631248207580491,nan,6.269999994401587e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,6,2.484488766588765,0.7659686024380011,nan,0.0011572000000796834
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,6,2.484488766588765,0.7659686024380011,nan,0.0009740000000419968
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,6,2.484488766588765,0.7659686024380011,nan,0.0009418990000540362
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,6,5.00759761631185,0.8278455524506478,nan,0.0008821999999781838
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,6,4.879565870814877,0.8278455524506478,nan,0.0007258000000547327
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,6,nan,0.7659686024380011,nan,0.08300459800011595
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,7,3.0558751979942227,0.7631248207580491,nan,5.5699999848002335e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,7,2.484488766588765,0.7659686024380011,nan,0.0012297999999191234
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,7,2.484488766588765,0.7659686024380011,nan,0.0010459999998602143
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,7,2.484488766588765,0.7659686024380011,nan,0.0009582000000136759
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,7,5.00759761631185,0.8278455524506478,nan,0.0007573000000320462
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,7,4.879565870814877,0.8278455524506478,nan,0.0006958000001304754
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,7,nan,0.7659686024380011,nan,0.07869219799999883
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,8,3.0558751979942227,0.7631248207580491,nan,5.719999990105862e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,8,2.484488766588765,0.7659686024380011,nan,0.0012259999998605053
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,8,2.484488766588765,0.7659686024380011,nan,0.0011108999999578373
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,8,2.484488766588765,0.7659686024380011,nan,0.0009082999999918684
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,8,5.00759761631185,0.8278455524506478,nan,0.0007915999999568157
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,8,4.879565870814877,0.8278455524506478,nan,0.0007387000000562693
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,8,nan,0.7659686024380011,nan,0.07988409799986584
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,9,3.0558751979942227,0.7631248207580491,nan,5.6699999959164415e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,9,2.484488766588765,0.7659686024380011,nan,0.0011845999999877677
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,9,2.484488766588765,0.7659686024380011,nan,0.0010643000000527536
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,9,2.484488766588765,0.7659686024380011,nan,0.0009205000001202279
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,9,5.00759761631185,0.8278455524506478,nan,0.0008299000000988599
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,9,4.879565870814877,0.8278455524506478,nan,0.0007571999999527179
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,9,nan,0.7659686024380011,nan,0.07649279900010697
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,10,3.0558751979942227,0.7631248207580491,nan,8.139999999912106e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,10,2.484488766588765,0.7659686024380011,nan,0.0012778000000253087
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,10,2.484488766588765,0.7659686024380011,nan,0.0010801999999330292
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,10,2.484488766588765,0.7659686024380011,nan,0.0009673999998085492
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,10,5.00759761631185,0.8278455524506478,nan,0.0008586999999806721
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,10,4.879565870814877,0.8278455524506478,nan,0.0007822000000032858
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,10,nan,0.7659686024380011,nan,0.07783479899990198
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,11,3.0558751979942227,0.7631248207580491,nan,5.7599999990998185e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,11,2.484488766588765,0.7659686024380011,nan,0.0014389000000392116
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,11,2.484488766588765,0.7659686024380011,nan,0.001918499999874257
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,11,2.484488766588765,0.7659686024380011,nan,0.003348099999811893
