,,,radius,radius,silhouette,silhouette,ari,ari,tempo,tempo
,,,mean,std,mean,std,mean,std,mean,std
algoritmo,metrica,eps,,,,,,,,
intervalo,euclidiana,0.01,28352.22289171882,193214.47683109005,0.5283958139273229,0.19914706297969634,0.3218692605938427,0.554812789426752,0.0012298712026773601,0.0008118512705765223
intervalo,euclidiana,0.05,28353.77748529157,193214.26025852453,0.5332471810849775,0.1977541949571267,0.30924077636752373,0.5460251097548076,0.0010416382719976758,0.0006364259218438655
intervalo,euclidiana,0.1,28583.457509543503,193205.91420159113,0.546906690814028,0.1991301580132913,0.2945561343940831,0.5349977929791154,0.0009127749346722441,0.0005669769128185655
intervalo,euclidiana,0.15,28587.337991124907,193205.37073364863,0.47387216425491313,0.41909949574514826,0.2702823621036665,0.5231113841528175,0.0007942666680009524,0.00029676507236064053
intervalo,euclidiana,0.25,28723.48801695441,193198.87989413118,0.43924074550085146,0.5103799702653027,0.1728234540376035,0.45112711119715804,0.0007318234666635779,0.0007462361343620513
intervalo,mahalanobis,0.01,4.010156363133715,6.301771836976392,0.33823481583100745,0.3537799146291956,0.28467230352686906,0.5493732947018884,0.0011761782733367711,0.0006121894009217884
intervalo,mahalanobis,0.05,4.061692531342571,6.379086871701107,0.29898558793967966,0.4308675856592826,0.27038336817812086,0.5474506299242693,0.0010400342693288743,0.0007115798395982925
intervalo,mahalanobis,0.1,4.123748822434504,6.362169937252397,0.2726384440232211,0.47370514991095014,0.24200686235636373,0.5309565038691689,0.0009039834746684194,0.00048068515907172493
intervalo,mahalanobis,0.15,4.333802644529945,6.385427832729538,0.12961265918571044,0.6344586225480561,0.1970618190687979,0.5174961168220906,0.0008190777333341239,0.00047271373631684624
intervalo,mahalanobis,0.25,4.545791648929864,6.415756837078988,0.04001215917207535,0.7009988832853916,0.17420751461021364,0.4993667088982908,0.0007151284053294258,0.0003745652420434578
intervalo,minkowski,0.01,28751.714265657058,194066.61682565193,0.5287532908038834,0.2051484821084419,0.33286200302860874,0.5595790225901967,0.0012287322706730386,0.0009167783029926512
intervalo,minkowski,0.05,28752.012694265013,194066.57262630961,0.5091811019197954,0.2946795290914164,0.3206040063899157,0.5532398668835089,0.0009999101346656472,0.00044371855715626124
intervalo,minkowski,0.1,29062.85023762211,194071.31143344814,0.5180491405655973,0.2952984699955777,0.3035073436484046,0.5392383198746423,0.000934476001333629,0.0005705515063871252
intervalo,minkowski,0.15,29063.315504069975,194071.2417746256,0.49806325190352707,0.3622253816870382,0.28495178344130695,0.5279491076054605,0.0008134006719919357,0.0004053140808613454
intervalo,minkowski,0.25,29251.531772237016,194069.1204654529,0.42389397248489225,0.5042764728475244,0.15797522177445872,0.43605586131272756,0.0006991926680105093,0.00030621597528932514
