,,,,radius,radius,silhouette,silhouette,ari,ari,tempo,tempo
,,,,mean,std,mean,std,mean,std,mean,std
dataset_name,algoritmo,metrica,eps,,,,,,,,
Air Quality,intervalo,euclidiana,0.01,1463.6428013692412,0.0,0.2691714164327223,0.0,0.2550673821333065,0.0,0.0015363466667318798,0.0005434448412987884
Air Quality,intervalo,euclidiana,0.05,1539.8287695062754,0.0,0.4388378368484941,0.0,0.1687918752475486,0.0,0.0011184199999660935,5.0046595457018635e-05
Air Quality,intervalo,euclidiana,0.1,1539.8287695062754,0.0,0.4388378368484941,0.0,0.1687918752475486,0.0,0.00105676666665502,4.347167664015552e-05
Air Quality,intervalo,euclidiana,0.15,1725.4813344325719,0.0,0.4659728556972208,0.0,0.0831685441277485,0.0,0.0009837733333975935,3.6615072330024044e-05
Air Quality,intervalo,euclidiana,0.25,1725.4813344325719,0.0,0.4659728556972208,0.0,0.0831685441277485,0.0,0.0011461066666015002,0.0010728083835157736
Air Quality,intervalo,mahalanobis,0.01,7.751765829812814,0.0,0.14270489467513173,0.0,0.0161988561146238,0.0,0.0018686200000046864,0.0010695496717433028
Air Quality,intervalo,mahalanobis,0.05,7.751765829812814,0.0,0.14270489467513173,0.0,0.0161988561146238,0.0,0.0013859666667485266,0.0002988117459281187
Air Quality,intervalo,mahalanobis,0.1,7.751765829812814,0.0,0.14270489467513173,0.0,0.0161988561146238,0.0,0.0013673933333241534,0.0006462919723630398
Air Quality,intervalo,mahalanobis,0.15,7.751765829812814,0.0,0.14270489467513173,0.0,0.0161988561146238,0.0,0.0012908333334355866,0.0004766248309953771
Air Quality,intervalo,mahalanobis,0.25,7.751765829812814,0.0,0.14270489467513173,0.0,0.0161988561146238,0.0,0.0011582000000089068,0.000786379203357361
Air Quality,intervalo,minkowski,0.01,3218.7300000000005,0.0,0.3889161802112994,0.0,0.28544788025797224,0.0,0.0016424400000080602,0.0006091808021545616
Air Quality,intervalo,minkowski,0.05,3218.7300000000005,0.0,0.3889161802112994,0.0,0.28544788025797224,0.0,0.0013886999999764332,0.0005744586595546954
Air Quality,intervalo,minkowski,0.1,3218.7300000000005,0.0,0.3889161802112994,0.0,0.28544788025797224,0.0,0.0011288933332858667,8.160771550863001e-05
Air Quality,intervalo,minkowski,0.15,3218.7300000000005,0.0,0.3889161802112994,0.0,0.28544788025797224,0.0,0.00109077333321082,0.00033788853501743276
Air Quality,intervalo,minkowski,0.25,4321.5039,0.0,0.4608075200112169,0.0,0.0880943579301216,0.0,0.0012204533333715066,0.0008757261695914595
Airfoil Self-Noise,intervalo,euclidiana,0.01,2500.3136124584958,0.0,0.679847427286822,0.0,0.0605068487347628,0.0,0.0016241066666831132,0.0005222355988672927
Airfoil Self-Noise,intervalo,euclidiana,0.05,2500.3136124584958,0.0,0.679847427286822,0.0,0.0605068487347628,0.0,0.00137315999991184,0.0005774656945684505
