,,,radius,radius,silhouette,silhouette,ari,ari,tempo,tempo
,,,mean,std,mean,std,mean,std,mean,std
dataset_tipo,metrica,algoritmo,,,,,,,,
anisotropic,euclidiana,gonzalez,6.115802379268771,1.1937393745166318,0.6557287966643217,0.07701565722430077,,,5.93933333402647e-05,1.944114008233859e-05
anisotropic,euclidiana,intervalo,6.647203926242313,3.5062334136133226,0.7179081313306559,0.10384455357808378,,,0.0011012821013385104,0.0008692059130288798
anisotropic,euclidiana,kmeans,,,0.6540960105155429,0.06777287704092824,,,0.08164784141334162,0.007044783218783117
anisotropic,mahalanobis,gonzalez,1.4894375177718824,0.6325442948763006,0.5899143841738532,0.12385469692216156,,,6.257733334374632e-05,2.480751070337421e-05
anisotropic,mahalanobis,intervalo,1.3565069832126755,0.6255017890317754,0.5930737690442458,0.263834452467633,,,0.0011350682426624307,0.0006829486986751499
anisotropic,mahalanobis,kmeans,,,0.6540960105155429,0.06777287704092824,,,0.08102375473334172,0.004764592806382925
anisotropic,minkowski,gonzalez,8.970432838940171,2.55747805959036,0.6438533952413369,0.06939477990924378,,,6.7170666682913e-05,4.423089225635151e-05
anisotropic,minkowski,intervalo,8.416139575816233,3.636705790597127,0.7244047944734778,0.08367921972528893,,,0.0011454106186744074,0.0007527123954759785
anisotropic,minkowski,kmeans,,,0.6540960105155429,0.06777287704092824,,,0.07934191238668059,0.007922585045187008
blobs,euclidiana,gonzalez,6.312302552926186,2.522046355096329,0.442876584456969,0.17377018997616825,,,9.322533335155497e-05,0.00014862099915090586
blobs,euclidiana,intervalo,6.633704353965521,2.8557286371824375,0.5242115810531208,0.1615538100976577,,,0.0012346367706680002,0.0010843637137162526
blobs,euclidiana,kmeans,,,0.49951201533441025,0.14061932891682008,,,0.09085225241332101,0.008780691971276088
blobs,mahalanobis,gonzalez,1.5151174803770266,0.4368151521523583,0.3560277466359622,0.2063346008471404,,,7.25706800009532e-05,3.91732234927326e-05
blobs,mahalanobis,intervalo,1.7047851437408026,0.5947802004707239,0.47209583627099905,0.1745825099380503,,,0.0011988991679905755,0.0008311351350705302
blobs,mahalanobis,kmeans,,,0.49951201533441025,0.14061932891682008,,,0.09332429174667894,0.009042913600346095
blobs,minkowski,gonzalez,7.916730198176641,3.173133870685175,0.42699646200334324,0.18319079263753887,,,7.592401334173788e-05,6.224538619115922e-05
blobs,minkowski,intervalo,9.432482654720792,4.071348205564107,0.5374848037522926,0.1498120965855646,,,0.0013148421226693355,0.0011940404855775026
blobs,minkowski,kmeans,,,0.49951201533441025,0.14061932891682008,,,0.09317768506667862,0.013222748416424773
circles,euclidiana,gonzalez,1.466272849784198,0.11930817072384317,0.30952986340799854,0.023775332551665966,,,4.82906533246317e-05,2.103971075533974e-05
circles,euclidiana,intervalo,1.5840960652072154,0.2556751050429014,0.3039470943048684,0.0172409816827727,,,0.000950900304000192,0.0007690672989586975
circles,euclidiana,kmeans,,,0.3089943970672312,0.014400920913495062,,,0.08498068732001225,0.01214507893580981
